,date,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date,date,day,close,Name
759,2019-07-11,11,6.940000057220459,6.739999771118164,6.760000228881836,19059277.0,6.602158546447754,6.7820000648498535,6.710000038146973,6.75566668510437,-0.030708400401125324,6.843623887360335,2019,7,2019-07-11,11,3,6.900000095367432,彩晶(6116)
760,2019-07-12,12,6.929999828338623,6.820000171661377,6.920000076293945,8922626.0,6.53518009185791,6.788000011444092,6.733000040054321,6.753333346048991,-0.020757973556003506,6.834541244924147,2019,7,2019-07-12,12,4,6.829999923706055,彩晶(6116)
761,2019-07-15,15,6.860000133514404,6.760000228881836,6.860000133514404,5332867.0,6.496906757354736,6.79399995803833,6.747000026702881,6.747666676839192,-0.01591637713222127,6.804847056210067,2019,7,2019-07-15,15,0,6.789999961853027,彩晶(6116)
762,2019-07-16,16,6.889999866485596,6.789999961853027,6.820000171661377,13655427.0,6.56388521194458,6.822000026702881,6.771000051498413,6.746333344777425,-0.00635766108781155,6.841615774412959,2019,7,2019-07-16,16,1,6.860000133514404,彩晶(6116)
763,2019-07-17,17,7.110000133514404,6.869999885559082,6.889999866485596,39016933.0,6.755251884460449,6.888000011444092,6.812000036239624,6.749333349863688,0.01715821417141239,6.98720521999068,2019,7,2019-07-17,17,2,7.059999942779541,彩晶(6116)
764,2019-07-18,18,7.039999961853027,6.880000114440918,7.03000020980835,19499845.0,6.583021640777588,6.884000015258789,6.833000040054321,6.748333358764649,0.021027837094829138,6.915735149624172,2019,7,2019-07-18,18,3,6.880000114440918,彩晶(6116)
765,2019-07-19,19,6.949999809265137,6.880000114440918,6.929999828338623,7577958.0,6.592589855194092,6.896000003814697,6.8420000076293945,6.748666683832805,0.02461766049315184,6.898578294198455,2019,7,2019-07-19,19,4,6.889999866485596,彩晶(6116)
766,2019-07-22,22,6.980000019073486,6.889999866485596,6.920000076293945,5778925.0,6.602158546447754,6.918000030517578,6.855999994277954,6.751000022888183,0.027947396109270883,6.899526161644439,2019,7,2019-07-22,22,0,6.900000095367432,彩晶(6116)
767,2019-07-23,23,6.949999809265137,6.889999866485596,6.920000076293945,7550545.0,6.621294975280762,6.9300000190734865,6.876000022888183,6.752666695912679,0.03183311455923743,6.913175438077443,2019,7,2019-07-23,23,1,6.920000076293945,彩晶(6116)
768,2019-07-24,24,7.0,6.929999828338623,6.929999828338623,12120000.0,6.6595683097839355,6.910000038146973,6.899000024795532,6.756666692097982,0.037705590477722595,6.944391838123796,2019,7,2019-07-24,24,2,6.960000038146973,彩晶(6116)
